amount,transaction_type,merchant_category,location,card_type,hour,previous_transactions,is_foreign_transaction,fraud
42457,POS,Travel,Same City,Credit,2,30,No,1
39173,POS,Fuel,Different City,Credit,4,1,No,1
10558,ATM,Shopping,Same City,Credit,17,28,No,0
162802,POS,Jewellery,Same City,Credit,5,28,No,1
47118,POS,Food,International,Debit,23,25,Yes,0
41832,ATM,Shopping,Different State,Debit,7,6,No,0
120765,Online,Fuel,Different State,Credit,21,6,No,1
73134,ATM,Jewellery,Same City,Debit,12,21,No,1
140665,Online,Shopping,Different State,Credit,18,30,No,1
10128,Online,Food,Different City,Credit,19,16,No,0
151249,Online,Shopping,Same City,Credit,17,21,No,1
194597,POS,Shopping,Same City,Debit,10,19,No,0
32769,POS,Food,Same City,Credit,12,22,No,0
33467,Online,Gaming,Same City,Debit,5,19,No,0
106550,POS,Shopping,Same City,Credit,18,19,No,0
121993,Online,Electronics,Same City,Debit,23,5,No,0
74492,POS,Gaming,Same City,Debit,7,21,No,1
52300,Online,Shopping,International,Debit,2,14,Yes,1
165189,POS,Electronics,Same City,Credit,4,20,No,1
196960,ATM,Fuel,Different State,Credit,22,16,No,1
146220,Online,Fuel,Same City,Debit,21,16,No,0
156194,Online,Electronics,Same City,Debit,16,13,No,0
143721,Online,Shopping,Different State,Credit,7,26,No,1
136755,POS,Shopping,Same City,Debit,7,8,No,0
141697,Online,Shopping,Same City,Credit,6,2,No,0
86838,POS,Food,Same City,Credit,18,30,No,1
151013,Online,Shopping,Same City,Debit,13,17,No,0
143265,ATM,Fuel,Same City,Credit,15,0,No,0
175441,POS,Food,Same City,Credit,4,19,No,1
103390,POS,Gaming,Same City,Credit,14,5,No,1
99479,Online,Travel,Same City,Debit,8,24,No,1
110610,Online,Shopping,Same City,Credit,11,7,No,0
170953,Online,Shopping,Same City,Debit,19,4,No,0
124241,POS,Travel,Same City,Debit,11,5,No,0
196164,POS,Electronics,Same City,Credit,18,0,No,0
151041,POS,Jewellery,Same City,Debit,2,18,No,1
164527,Online,Electronics,Same City,Debit,3,25,No,1
10866,Online,Food,Same City,Credit,10,0,No,0
128603,Online,Jewellery,Different City,Debit,22,4,No,1
192460,POS,Gaming,Different City,Debit,15,14,No,1
191734,POS,Food,Same City,Debit,8,28,No,1
196832,POS,Gaming,Same City,Credit,10,5,No,1
93115,ATM,Food,Different State,Debit,8,17,No,0
50184,Online,Electronics,Same City,Debit,22,15,No,0
128765,Online,Shopping,Same City,Credit,7,9,No,0
96836,POS,Travel,Same City,Debit,10,11,No,0
71119,Online,Shopping,Different City,Credit,23,17,No,0
181022,Online,Shopping,Same City,Debit,16,19,No,0
26452,ATM,Food,Same City,Credit,22,17,No,0
12031,International,Travel,Different City,Credit,15,3,Yes,0
150587,Online,Travel,Same City,Debit,8,30,No,1
30007,ATM,Food,Same City,Debit,1,4,No,0
147645,International,Shopping,Same City,Credit,13,19,Yes,1
162214,Online,Travel,Same City,Credit,18,13,No,0
162898,Online,Jewellery,Same City,Debit,20,6,No,1
21382,Online,Shopping,Same City,Credit,14,22,No,0
76451,Online,Food,Same City,Debit,2,21,No,1
69451,ATM,Gaming,Different City,Debit,13,3,No,1
169873,Online,Food,Same City,Credit,9,19,No,0
149314,International,Food,Same City,Credit,12,30,Yes,1
141652,POS,Shopping,Same City,Credit,10,19,No,0
24040,Online,Electronics,Different State,Credit,0,24,No,0
70750,POS,Electronics,Same City,Credit,14,29,No,1
153540,Online,Fuel,International,Credit,13,10,Yes,1
27520,ATM,Food,Different City,Credit,12,26,No,0
9719,POS,Food,Same City,Debit,12,27,No,0
401,POS,Travel,Same City,Credit,11,19,No,0
164047,Online,Shopping,Same City,Credit,9,14,No,0
127164,Online,Jewellery,Different City,Credit,5,9,No,1
144869,Online,Shopping,Different State,Credit,3,20,No,1
130746,International,Food,Different City,Credit,15,15,Yes,1
144610,Online,Shopping,Different City,Debit,4,27,No,1
108874,Online,Electronics,Same City,Credit,23,9,No,0
152123,International,Travel,Same City,Credit,11,10,Yes,1
142556,Online,Jewellery,Different State,Debit,7,18,No,1
107782,Online,Electronics,Different City,Debit,12,21,No,1
171022,International,Travel,Same City,Credit,18,10,Yes,1
115523,Online,Fuel,Same City,Credit,20,4,No,0
69574,Online,Electronics,Different City,Debit,21,27,No,1
83110,POS,Fuel,Same City,Credit,19,2,No,0
179511,International,Jewellery,Different City,Credit,3,24,Yes,1
26447,Online,Electronics,Different State,Credit,1,9,No,0
113001,Online,Travel,Different City,Debit,5,5,No,1
100381,POS,Shopping,Different State,Credit,14,20,No,1
67032,POS,Fuel,Same City,Credit,17,5,No,0
90687,International,Food,International,Debit,14,27,Yes,1
100945,ATM,Shopping,Same City,Credit,9,22,No,1
172650,Online,Shopping,Different State,Debit,1,29,No,1
130314,ATM,Fuel,Different State,Credit,11,7,No,1
162862,Online,Electronics,Different City,Debit,4,20,No,1
164584,POS,Food,Same City,Credit,23,4,No,0
77461,Online,Food,Same City,Debit,11,16,No,0
71541,ATM,Food,Different State,Credit,9,23,No,1
30291,POS,Shopping,Different City,Credit,21,23,No,0
104279,International,Fuel,Same City,Debit,0,8,Yes,1
119319,Online,Electronics,Same City,Credit,20,30,No,1
177004,Online,Shopping,Different State,Credit,19,7,No,1
166667,ATM,Fuel,Same City,Credit,4,1,No,1
79887,International,Shopping,Same City,Credit,12,14,Yes,1
194909,POS,Travel,Different City,Debit,13,20,No,0
128379,POS,Jewellery,Same City,Debit,6,14,No,1
61995,ATM,Shopping,Different City,Credit,20,11,No,0
72420,Online,Shopping,Different State,Credit,21,6,No,0
156638,International,Shopping,Same City,Debit,18,6,Yes,1
145382,Online,Shopping,Different State,Credit,4,25,No,1
843,Online,Jewellery,International,Credit,5,3,Yes,0
6858,Online,Food,Different State,Credit,0,5,No,0
33328,POS,Travel,Different City,Credit,11,16,No,0
118590,POS,Jewellery,Same City,Debit,21,16,No,1
168747,International,Shopping,Same City,Credit,21,3,Yes,1
116377,Online,Shopping,Different City,Credit,8,19,No,0
143848,POS,Food,Different City,Credit,16,19,No,0
184067,Online,Gaming,Different State,Credit,6,13,No,1
59998,Online,Fuel,Same City,Debit,10,13,No,0
66917,Online,Shopping,International,Credit,2,2,Yes,1
195289,POS,Fuel,Different City,Credit,17,17,No,0
32142,Online,Fuel,International,Credit,23,1,Yes,0
157493,Online,Shopping,Same City,Credit,15,7,No,0
91880,ATM,Food,Different City,Credit,13,27,No,1
163081,POS,Gaming,Same City,Debit,22,8,No,0
71736,POS,Food,Same City,Credit,4,18,No,1
18341,Online,Gaming,Same City,Debit,6,12,No,0
89463,Online,Food,Same City,Debit,19,2,No,0
40884,Online,Gaming,Different City,Credit,21,13,No,0
115979,Online,Shopping,Same City,Credit,3,9,No,1
155586,POS,Gaming,Same City,Credit,19,1,No,0
79115,International,Electronics,Different City,Credit,3,0,Yes,1
112993,Online,Food,Different City,Credit,21,25,No,1
104189,ATM,Shopping,Same City,Debit,10,18,No,0
106117,POS,Food,Same City,Credit,10,5,No,0
162137,POS,Electronics,Same City,Credit,3,7,No,1
105075,POS,Food,Same City,Credit,10,24,No,1
133920,POS,Travel,Same City,Debit,11,23,No,1
169299,ATM,Shopping,Same City,Credit,19,4,No,0
171937,Online,Jewellery,Different City,Credit,18,24,No,1
178655,International,Travel,Different City,Debit,20,10,Yes,1
18000,POS,Gaming,Different State,Credit,11,16,No,0
121143,POS,Shopping,Different State,Credit,2,19,No,1
100889,POS,Travel,Different State,Debit,14,29,No,1
170975,Online,Gaming,Same City,Debit,14,3,No,1
90130,International,Shopping,Different City,Credit,22,14,Yes,1
137481,POS,Shopping,Same City,Credit,13,24,No,1
156832,Online,Gaming,Same City,Credit,17,21,No,1
66159,POS,Gaming,Different State,Debit,10,2,No,1
37174,International,Food,Different City,Debit,4,19,Yes,1
22308,Online,Food,Different State,Debit,21,22,No,0
193765,International,Fuel,Same City,Debit,16,11,Yes,0
81067,Online,Shopping,International,Credit,7,4,Yes,1
77640,ATM,Shopping,Different State,Debit,16,1,No,0
162113,Online,Food,Same City,Debit,19,25,No,1
189153,Online,Food,Different City,Credit,14,19,No,0
196324,ATM,Shopping,Same City,Debit,15,28,No,1
96527,POS,Gaming,Same City,Debit,12,16,No,1
42582,ATM,Fuel,Same City,Credit,20,15,No,0
145469,International,Electronics,Same City,Credit,2,24,Yes,1
117886,International,Shopping,Same City,Debit,7,26,Yes,1
91741,International,Food,Same City,Credit,12,2,Yes,1
7489,Online,Shopping,Different City,Credit,4,4,No,1
123951,POS,Shopping,Different City,Credit,0,28,No,1
67188,Online,Shopping,International,Debit,13,3,Yes,1
62395,Online,Shopping,Same City,Debit,14,2,No,0
131127,POS,Shopping,Same City,Credit,4,9,No,1
161268,Online,Gaming,Same City,Debit,16,11,No,1
138003,POS,Electronics,Same City,Credit,15,1,No,0
97958,Online,Shopping,Different State,Credit,23,21,No,1
152642,POS,Food,Same City,Credit,20,5,No,0
179585,POS,Electronics,Different City,Debit,2,22,No,1
120077,Online,Shopping,Different State,Debit,10,29,No,1
104492,International,Travel,Same City,Debit,6,9,Yes,1
12631,ATM,Food,Same City,Credit,12,23,No,0
101456,Online,Shopping,Different City,Credit,16,8,No,0
190700,Online,Food,International,Credit,9,10,Yes,1
86062,POS,Food,Different City,Credit,22,14,No,0
11203,POS,Fuel,Different City,Credit,20,25,No,0
19771,POS,Food,Same City,Debit,5,30,No,1
159371,POS,Food,Same City,Credit,20,11,No,0
148799,Online,Shopping,Same City,Credit,14,24,No,1
36195,POS,Food,Different City,Credit,3,0,No,1
130921,POS,Fuel,Same City,Debit,22,14,No,0
160499,Online,Fuel,Same City,Credit,2,14,No,1
187105,Online,Shopping,Different City,Debit,10,21,No,1
17123,POS,Food,Same City,Credit,22,29,No,0
45736,ATM,Travel,Same City,Credit,4,7,No,1
6990,Online,Gaming,Same City,Debit,4,19,No,0
17335,Online,Jewellery,Different City,Credit,13,26,No,0
32953,International,Gaming,Same City,Debit,11,4,Yes,0
144620,POS,Shopping,International,Credit,1,26,Yes,1
40212,Online,Shopping,International,Credit,16,28,Yes,0
20772,Online,Gaming,Different City,Credit,9,19,No,0
131846,POS,Gaming,Different City,Credit,19,23,No,1
88604,ATM,Travel,Different State,Credit,1,30,No,1
151297,Online,Shopping,Different City,Debit,0,15,No,1
143119,Online,Jewellery,Same City,Debit,21,12,No,1
19229,POS,Shopping,Same City,Credit,10,19,No,0
188414,Online,Jewellery,Same City,Credit,11,16,No,1
83754,Online,Shopping,Same City,Credit,1,9,No,1
161417,Online,Jewellery,Different State,Debit,18,23,No,1
41870,POS,Travel,Same City,Credit,0,2,No,1
132599,POS,Shopping,Different City,Credit,9,15,No,0
171610,POS,Food,Same City,Credit,4,28,No,1
95986,ATM,Food,Same City,Credit,6,11,No,0
19375,Online,Travel,Same City,Debit,19,21,No,0
33828,International,Food,Different State,Credit,11,24,Yes,0
158032,POS,Travel,Same City,Credit,10,25,No,1
119896,Online,Fuel,Same City,Debit,10,5,No,0
161711,POS,Food,Same City,Debit,17,15,No,0
78688,POS,Shopping,Same City,Credit,13,18,No,0
190239,ATM,Gaming,Different City,Credit,20,25,No,1
151743,POS,Electronics,Different City,Credit,20,23,No,1
99764,Online,Electronics,Same City,Debit,3,6,No,0
82332,Online,Food,Same City,Credit,19,29,No,1
192995,POS,Electronics,Same City,Credit,21,15,No,0
82348,International,Travel,Same City,Credit,21,24,Yes,1
178553,POS,Electronics,Different City,Credit,7,8,No,0
59047,International,Jewellery,Different State,Debit,22,22,Yes,1
125877,Online,Jewellery,Different State,Credit,3,18,No,1
99634,ATM,Food,Same City,Debit,4,9,No,0
187307,Online,Jewellery,Different City,Debit,6,6,No,1
71175,International,Electronics,Same City,Debit,18,7,Yes,1
175692,International,Shopping,Same City,Credit,10,22,Yes,1
178670,ATM,Shopping,Different City,Debit,13,20,No,0
124801,POS,Shopping,International,Credit,20,1,Yes,1
23551,POS,Shopping,Different City,Debit,1,29,No,0
109646,ATM,Shopping,Different State,Debit,12,25,No,1
196446,International,Jewellery,Different State,Credit,18,19,Yes,1
87929,Online,Jewellery,Same City,Credit,4,27,No,1
71622,Online,Shopping,Same City,Credit,8,22,No,1
193199,Online,Food,Different City,Credit,19,27,No,1
106396,ATM,Travel,Same City,Debit,5,4,No,1
65124,Online,Food,Same City,Credit,10,9,No,0
150276,Online,Gaming,Different City,Credit,3,14,No,1
106377,POS,Jewellery,Different State,Debit,22,3,No,1
77442,Online,Shopping,International,Credit,14,23,Yes,1
98043,Online,Travel,Same City,Credit,21,26,No,1
64971,POS,Gaming,Different State,Credit,16,22,No,1
147993,Online,Fuel,Different State,Credit,17,4,No,1
136504,Online,Electronics,Different City,Credit,16,14,No,0
118964,Online,Food,Different City,Credit,21,25,No,1
5806,Online,Fuel,Different City,Credit,1,13,No,0
16814,POS,Shopping,Different State,Debit,15,1,No,0
47281,ATM,Electronics,International,Debit,13,11,Yes,0
100364,Online,Fuel,Same City,Credit,21,27,No,1
171420,ATM,Shopping,International,Credit,4,23,Yes,1
1010,ATM,Jewellery,Same City,Debit,13,17,No,0
60305,Online,Food,Same City,Debit,23,24,No,1
173166,Online,Electronics,Different State,Credit,6,2,No,1
8901,Online,Electronics,Different State,Credit,1,12,No,0
141594,Online,Fuel,Same City,Credit,9,7,No,0
191862,POS,Gaming,Different State,Debit,7,9,No,1
173170,POS,Food,Same City,Credit,18,28,No,1
46010,POS,Food,Same City,Debit,20,21,No,0
137584,Online,Food,Same City,Credit,17,15,No,0
59172,Online,Electronics,Different State,Debit,17,13,No,0
146189,POS,Food,Same City,Credit,2,29,No,1
97375,Online,Electronics,Same City,Credit,21,19,No,0
19179,Online,Electronics,Different City,Credit,15,6,No,0
87384,Online,Fuel,Same City,Credit,23,3,No,0
197843,POS,Shopping,Different City,Credit,7,17,No,0
74302,Online,Travel,Same City,Credit,16,28,No,1
25949,ATM,Electronics,Different City,Credit,6,11,No,0
12084,POS,Shopping,Same City,Credit,18,18,No,0
77482,Online,Food,Same City,Debit,15,17,No,0
179628,Online,Electronics,Same City,Debit,23,15,No,0
192191,ATM,Shopping,Different City,Credit,17,20,No,0
137448,Online,Fuel,International,Debit,0,13,Yes,1
165434,Online,Electronics,Same City,Credit,11,1,No,0
174885,International,Fuel,Different City,Credit,17,17,Yes,1
4484,POS,Food,International,Credit,22,21,Yes,0
47093,Online,Shopping,Same City,Credit,16,8,No,0
70177,ATM,Shopping,International,Credit,7,22,Yes,1
179417,ATM,Shopping,International,Debit,1,2,Yes,1
98972,POS,Shopping,Same City,Credit,15,27,No,1
86940,POS,Fuel,Same City,Credit,1,7,No,1
181579,ATM,Travel,Same City,Credit,8,28,No,1
172619,Online,Jewellery,Same City,Debit,18,4,No,1
186933,ATM,Jewellery,Same City,Credit,18,26,No,1
177580,ATM,Food,Different City,Credit,22,23,No,1
195516,International,Shopping,Same City,Debit,10,19,Yes,1
156235,Online,Electronics,Same City,Credit,14,15,No,0
145075,International,Food,Different City,Debit,2,24,Yes,1
64705,POS,Shopping,Same City,Debit,20,4,No,0
83115,Online,Shopping,International,Credit,8,3,Yes,1
49223,Online,Travel,Same City,Credit,2,11,No,1
156580,POS,Food,Same City,Credit,12,24,No,1
146779,International,Jewellery,Different City,Credit,12,5,Yes,1
79039,Online,Shopping,Same City,Credit,9,15,No,0
94766,Online,Shopping,Different City,Credit,6,14,No,0
79964,Online,Food,Different State,Credit,10,14,No,0
170765,International,Shopping,Same City,Debit,6,15,Yes,1
104496,International,Food,Different City,Credit,18,25,Yes,1
98680,Online,Electronics,Same City,Debit,6,18,No,0
47266,POS,Travel,International,Credit,22,6,Yes,0
76470,ATM,Shopping,Different State,Debit,21,15,No,0
79485,Online,Gaming,Different City,Debit,2,14,No,1
125728,POS,Travel,International,Debit,13,17,Yes,0
94348,POS,Fuel,Different City,Debit,3,24,No,1
174345,Online,Gaming,Same City,Debit,21,20,No,1
197411,Online,Electronics,Same City,Credit,7,16,No,0
146374,POS,Gaming,Same City,Credit,21,18,No,1
39616,Online,Shopping,Same City,Credit,2,3,No,1
191504,Online,Food,Same City,Credit,15,11,No,0
114962,POS,Travel,Same City,Credit,22,3,No,1
90035,POS,Electronics,Same City,Debit,7,16,No,0
42078,Online,Food,Same City,Debit,20,5,No,0
172409,Online,Shopping,Different City,Credit,18,13,No,0
184842,Online,Food,Different City,Debit,18,3,No,0
140842,Online,Food,Same City,Credit,15,16,No,0
82257,POS,Gaming,Different City,Credit,14,19,No,1
176677,POS,Food,Different City,Credit,4,10,No,1
80153,Online,Food,Same City,Credit,19,4,No,0
110997,Online,Gaming,Different City,Debit,5,17,No,1
75816,Online,Food,Same City,Credit,11,30,No,0
35891,Online,Food,Different City,Debit,13,21,No,0
186259,ATM,Travel,Same City,Credit,7,9,No,1
59041,POS,Shopping,Same City,Debit,15,17,No,0
150233,Online,Electronics,Different State,Credit,1,24,No,1
143323,Online,Food,Different City,Debit,7,9,No,0
8549,Online,Food,Different State,Credit,3,24,No,0
55118,ATM,Gaming,Same City,Debit,20,13,No,1
36599,ATM,Fuel,Different State,Credit,17,8,No,0
44239,Online,Electronics,Same City,Credit,16,28,No,0
25062,Online,Electronics,Same City,Credit,8,27,No,0
183974,ATM,Shopping,Different City,Debit,21,12,No,0
151468,POS,Gaming,Same City,Credit,2,12,No,1
73035,POS,Fuel,Same City,Credit,18,0,No,0
192179,Online,Jewellery,Different City,Debit,2,25,No,1
57202,International,Fuel,Same City,Credit,9,10,Yes,1
34334,POS,Travel,Same City,Debit,1,1,No,0
120576,Online,Jewellery,Same City,Credit,13,6,No,1
34680,ATM,Food,Different State,Debit,2,20,No,0
21706,Online,Fuel,Same City,Credit,9,23,No,0
61479,Online,Shopping,Same City,Credit,2,4,No,1
136269,POS,Shopping,Different City,Debit,13,22,No,1
18667,Online,Shopping,Different State,Credit,11,28,No,0
100428,ATM,Electronics,Same City,Debit,4,2,No,1
2321,POS,Shopping,Same City,Credit,23,4,No,0
161600,POS,Fuel,Same City,Credit,3,18,No,1
92252,International,Food,Same City,Credit,2,7,Yes,1
157388,POS,Food,International,Credit,21,28,Yes,1
135824,POS,Shopping,Same City,Debit,7,15,No,0
63298,POS,Gaming,Same City,Debit,11,29,No,1
101507,ATM,Travel,Same City,Debit,15,30,No,1
19234,Online,Shopping,Same City,Credit,1,30,No,0
132904,Online,Electronics,Different City,Credit,12,2,No,0
141043,POS,Food,Same City,Credit,6,25,No,1
85755,Online,Gaming,Different State,Debit,2,9,No,1
191454,International,Shopping,Same City,Debit,3,14,Yes,1
14525,Online,Electronics,Different City,Credit,22,4,No,0
43047,POS,Food,Same City,Debit,8,5,No,0
196649,ATM,Food,Different State,Debit,0,10,No,1
71398,POS,Food,International,Debit,15,14,Yes,1
14633,POS,Travel,Same City,Credit,3,28,No,0
189572,Online,Electronics,Same City,Debit,0,7,No,0
95514,Online,Shopping,International,Debit,17,25,Yes,1
194261,POS,Shopping,Same City,Debit,10,8,No,0
149924,Online,Travel,Different State,Credit,16,1,No,1
18168,ATM,Fuel,Different State,Credit,2,17,No,0
96809,Online,Travel,Same City,Debit,14,11,No,0
129431,International,Electronics,Different City,Credit,7,4,Yes,0
107588,Online,Travel,Different City,Debit,0,30,No,1
199048,POS,Fuel,Different City,Credit,16,7,No,0
15801,International,Shopping,Same City,Credit,7,28,Yes,0
108380,POS,Food,International,Credit,3,16,Yes,1
103476,Online,Travel,Same City,Debit,7,9,No,0
82677,International,Food,Different State,Credit,14,8,Yes,1
53239,Online,Electronics,Same City,Credit,14,14,No,0
31750,POS,Jewellery,Same City,Credit,8,27,No,0
41417,ATM,Food,Different City,Debit,6,26,No,0
38982,Online,Shopping,Same City,Credit,21,9,No,0
45678,Online,Food,Same City,Debit,7,3,No,0
36745,Online,Shopping,Different State,Credit,6,26,No,0
180005,POS,Gaming,Different City,Credit,2,0,No,1
51939,International,Food,Same City,Debit,10,3,Yes,0
120947,Online,Jewellery,Same City,Debit,15,0,No,1
111947,Online,Shopping,Same City,Credit,4,1,No,1
161836,Online,Food,Same City,Credit,1,2,No,1
36075,Online,Gaming,Different State,Credit,17,25,No,1
100369,ATM,Food,Same City,Credit,18,16,No,0
70993,Online,Food,Same City,Debit,8,1,No,0
123749,POS,Electronics,International,Debit,3,7,Yes,1
69968,POS,Electronics,Different City,Debit,7,18,No,0
101922,Online,Fuel,Different State,Credit,18,10,No,1
182978,Online,Gaming,Different City,Credit,18,18,No,1
49444,ATM,Fuel,International,Credit,5,15,Yes,0
14824,Online,Shopping,Same City,Credit,19,6,No,0
89427,POS,Fuel,Different State,Credit,0,4,No,1
37233,ATM,Fuel,Different State,Debit,11,22,No,0
103803,POS,Food,Same City,Debit,23,30,No,1
167679,International,Gaming,Same City,Debit,22,28,Yes,1
93639,Online,Gaming,Same City,Credit,22,9,No,1
191158,Online,Electronics,Different City,Debit,18,1,No,0
83518,International,Jewellery,Same City,Credit,15,4,Yes,1
20496,Online,Jewellery,Same City,Debit,2,26,No,0
167636,POS,Food,Same City,Credit,22,2,No,0
28420,POS,Shopping,Same City,Credit,5,28,No,0
99377,Online,Food,Different State,Debit,18,20,No,1
59235,Online,Shopping,Different State,Credit,10,8,No,0
19551,Online,Fuel,Same City,Credit,2,10,No,0
160963,ATM,Electronics,Same City,Debit,19,28,No,1
14139,Online,Shopping,Same City,Debit,23,29,No,0
69637,POS,Food,Same City,Credit,17,26,No,1
14388,Online,Food,Same City,Debit,19,15,No,0
6846,Online,Gaming,International,Credit,3,9,Yes,0
123555,POS,Gaming,Same City,Credit,5,11,No,1
96936,Online,Shopping,Same City,Credit,8,18,No,0
197293,POS,Shopping,Different City,Debit,13,24,No,1
145223,Online,Food,Same City,Debit,21,27,No,1
150233,ATM,Travel,Same City,Debit,22,1,No,0
135580,ATM,Electronics,Different City,Credit,14,5,No,0
43921,International,Fuel,Same City,Credit,21,13,Yes,0
164523,Online,Gaming,Same City,Debit,2,2,No,1
104264,POS,Fuel,Same City,Debit,0,25,No,1
154129,POS,Food,Same City,Credit,18,18,No,0
26367,International,Travel,Same City,Credit,17,28,Yes,0
107812,Online,Gaming,Different City,Credit,5,8,No,1
162169,POS,Electronics,Same City,Debit,10,22,No,1
195593,POS,Food,Same City,Credit,9,9,No,0
128975,ATM,Electronics,International,Credit,9,23,Yes,1
84213,Online,Food,Different City,Credit,6,29,No,1
194334,POS,Travel,Same City,Credit,5,2,No,1
132953,Online,Electronics,Same City,Credit,5,6,No,1
52719,ATM,Shopping,Same City,Debit,22,6,No,0
121792,POS,Gaming,Same City,Credit,11,15,No,1
46652,International,Travel,Different City,Credit,8,23,Yes,1
23795,Online,Food,Same City,Credit,6,27,No,0
59111,POS,Food,Same City,Credit,21,0,No,0
34785,POS,Gaming,Same City,Credit,9,22,No,0
168590,Online,Fuel,Different State,Credit,6,14,No,1
136582,ATM,Food,Same City,Credit,21,30,No,1
98202,POS,Gaming,Same City,Debit,15,2,No,1
72578,POS,Fuel,Same City,Debit,20,9,No,0
135705,ATM,Fuel,Different State,Debit,19,12,No,1
178556,Online,Shopping,Same City,Credit,13,12,No,0
9358,POS,Jewellery,Different State,Credit,22,7,No,0
167430,ATM,Fuel,Different City,Credit,5,26,No,1
146441,Online,Shopping,Same City,Credit,17,24,No,1
178282,ATM,Gaming,Same City,Credit,9,13,No,1
86952,Online,Gaming,Same City,Credit,1,27,No,1
152225,International,Shopping,Different State,Credit,21,12,Yes,1
108393,Online,Fuel,Same City,Credit,13,18,No,0
120049,Online,Fuel,Same City,Credit,10,20,No,0
82259,POS,Shopping,Same City,Debit,5,18,No,1
128439,ATM,Electronics,Same City,Credit,13,12,No,0
125247,Online,Shopping,Same City,Credit,0,28,No,1
139307,Online,Electronics,Different City,Credit,22,28,No,1
33898,Online,Travel,Same City,Credit,1,9,No,0
119618,POS,Gaming,Same City,Debit,4,10,No,1
128597,Online,Shopping,International,Debit,12,0,Yes,1
190722,International,Shopping,Same City,Credit,3,11,Yes,1
9894,Online,Gaming,Different State,Debit,19,1,No,0
171428,ATM,Shopping,Same City,Credit,3,17,No,1
184090,Online,Electronics,Different City,Credit,21,3,No,0
70872,POS,Electronics,Same City,Debit,16,23,No,1
74209,Online,Shopping,Same City,Credit,8,26,No,1
52967,Online,Food,Same City,Credit,6,22,No,0
86765,Online,Shopping,Same City,Credit,18,21,No,1
23714,ATM,Shopping,Different City,Debit,20,7,No,0
77700,Online,Shopping,Different State,Debit,9,11,No,0
82074,Online,Shopping,Different State,Debit,0,27,No,1
169759,Online,Food,Same City,Debit,23,2,No,0
89942,Online,Food,International,Credit,12,22,Yes,1
110656,POS,Electronics,Same City,Debit,1,30,No,1
27287,Online,Gaming,Different State,Debit,5,19,No,0
94104,POS,Fuel,Different State,Debit,4,15,No,1
29705,ATM,Food,Same City,Debit,0,22,No,0
137677,ATM,Gaming,Different City,Debit,21,27,No,1
137228,POS,Gaming,Same City,Debit,15,11,No,1
168240,Online,Fuel,Different City,Debit,1,0,No,1
41237,POS,Travel,Same City,Credit,15,10,No,0
73017,Online,Shopping,Different City,Credit,7,2,No,0
150317,Online,Fuel,Same City,Credit,15,23,No,1
27007,Online,Shopping,Same City,Debit,19,30,No,0
79948,ATM,Travel,Different City,Credit,10,11,No,0
58536,ATM,Food,Different City,Credit,22,21,No,0
118728,Online,Electronics,Same City,Credit,20,30,No,1
143673,POS,Electronics,Same City,Credit,4,26,No,1
